date,open,high,low,close,Adj Close,volume
"Nov 21, 2018",25496.85,25998.28,25494.51,25971.47,25971.47,-
"Nov 20, 2018",26043.51,26132.29,25776.22,25840.34,25840.34,1205800000
"Nov 19, 2018",26278.87,26397.39,26146.39,26372.00,26372.00,1320040400
"Nov 16, 2018",26041.56,26197.31,25850.04,26183.53,26183.53,1330024100
"Nov 15, 2018",25862.18,26127.14,25611.72,26103.34,26103.34,1534457400
"Nov 14, 2018",25874.36,25874.36,25489.86,25654.43,25654.43,1431673200
"Nov 13, 2018",25092.30,25792.87,25092.30,25792.87,25792.87,1689989400
"Nov 12, 2018",25576.28,25765.96,25505.33,25633.18,25633.18,1171178800
"Nov 09, 2018",25925.09,25925.09,25475.32,25601.92,25601.92,1839798600
"Nov 08, 2018",26491.27,26491.27,26141.25,26227.72,26227.72,1654626400
"Nov 07, 2018",26125.09,26530.87,25920.72,26147.69,26147.69,1731287400
"Nov 06, 2018",26062.24,26159.83,25826.69,26120.96,26120.96,1562913100
"Nov 05, 2018",26050.34,26146.81,25747.52,25934.39,25934.39,1626675400
"Nov 02, 2018",25980.44,26486.35,25909.71,26486.35,26486.35,3518978800
"Nov 01, 2018",25228.75,25535.12,25190.90,25416.00,25416.00,2176972600
"Oct 31, 2018",24752.83,24979.69,24700.11,24979.69,24979.69,2363084500
"Oct 30, 2018",24765.12,24939.18,24540.63,24585.53,24585.53,2100387500
"Oct 29, 2018",24955.79,24955.79,24594.74,24812.04,24812.04,2000985900
"Oct 26, 2018",25031.49,25062.20,24589.04,24717.63,24717.63,1688395600
"Oct 25, 2018",24766.72,24994.46,24653.79,24994.46,24994.46,2288634200
"Oct 24, 2018",25401.17,25653.36,25194.29,25249.78,25249.78,1962753500
"Oct 23, 2018",26015.49,26015.49,25315.76,25346.55,25346.55,1772912000
"Oct 22, 2018",25668.33,26234.86,25668.33,26153.15,26153.15,2222812200
"Oct 19, 2018",25172.03,25743.45,25090.30,25561.40,25561.40,2037871700
"Oct 18, 2018",25674.66,25674.66,25261.72,25454.55,25454.55,1764725000
"Oct 16, 2018",25586.16,25712.13,25266.54,25462.26,25462.26,1467251700
"Oct 15, 2018",25683.59,25683.59,25399.54,25445.06,25445.06,1614888500
"Oct 12, 2018",25401.41,25835.76,25286.86,25801.49,25801.49,2099313400
"Oct 11, 2018",25392.90,25437.85,25125.22,25266.37,25266.37,3090446400
"Oct 10, 2018",26281.28,26499.84,26193.07,26193.07,26193.07,1719141400
"Oct 09, 2018",26194.17,26366.60,26067.51,26172.91,26172.91,1744919700
"Oct 08, 2018",26717.60,26717.60,26187.83,26202.57,26202.57,2296488600
"Oct 05, 2018",26503.75,26639.64,26373.46,26572.57,26572.57,1684117300
"Oct 04, 2018",27029.40,27029.40,26551.44,26623.87,26623.87,1903259700
"Oct 03, 2018",26840.20,27270.16,26840.20,27091.26,27091.26,1316749100
"Oct 02, 2018",27716.16,27716.16,27073.08,27126.38,27126.38,2081279200
"Sep 28, 2018",27879.06,27927.95,27672.83,27788.52,27788.52,1636511300
"Sep 27, 2018",27912.51,27928.29,27638.54,27715.67,27715.67,1440548100
"Sep 26, 2018",27606.81,28031.81,27589.37,27816.87,27816.87,2338781100
"Sep 24, 2018",27783.85,27783.85,27425.01,27499.39,27499.39,1511079800
"Sep 21, 2018",27712.35,27965.96,27536.27,27953.58,27953.58,2777208200
"Sep 20, 2018",27605.72,27628.19,27327.23,27477.67,27477.67,1399791400
"Sep 19, 2018",27170.02,27488.35,27085.79,27407.37,27407.37,1874196000
"Sep 18, 2018",26846.33,27156.55,26648.99,27084.66,27084.66,1810262900
"Sep 17, 2018",27029.91,27037.48,26763.21,26932.85,26932.85,1262149500
"Sep 14, 2018",27229.79,27340.02,27027.45,27286.41,27286.41,1707220300
"Sep 13, 2018",26798.39,27014.49,26648.77,27014.49,27014.49,2336699600
"Sep 12, 2018",26462.82,26468.91,26219.56,26345.04,26345.04,2255883500
"Sep 11, 2018",26611.93,26690.65,26394.87,26422.55,26422.55,1688227600
"Sep 10, 2018",26922.27,26926.63,26453.29,26613.42,26613.42,2045973800
"Sep 07, 2018",26895.87,27196.57,26669.58,26973.47,26973.47,2859939000
"Sep 06, 2018",27069.21,27268.39,26818.82,26974.82,26974.82,2172071800
"Sep 05, 2018",27789.02,27861.99,27208.34,27243.85,27243.85,1913637000
"Sep 04, 2018",27619.18,27984.89,27563.79,27973.34,27973.34,1102334700
"Sep 03, 2018",27809.45,27822.19,27577.04,27712.54,27712.54,1396877700
"Aug 31, 2018",27798.21,27962.03,27720.32,27888.55,27888.55,1923264400
"Aug 30, 2018",28533.93,28533.93,28121.40,28164.05,28164.05,1292190100
"Aug 29, 2018",28362.84,28485.83,28272.13,28416.44,28416.44,1365810400
"Aug 28, 2018",28530.89,28579.64,28234.53,28351.62,28351.62,1651324700
"Aug 27, 2018",28016.66,28289.06,27956.04,28271.27,28271.27,2133548500
"Aug 24, 2018",27565.98,27830.91,27532.06,27671.87,27671.87,1492245200
"Aug 23, 2018",28005.33,28051.65,27659.21,27790.46,27790.46,1462580600
"Aug 22, 2018",27836.68,27954.52,27579.80,27927.58,27927.58,1784465100
"Aug 21, 2018",27670.54,27771.30,27526.30,27752.79,27752.79,1699480400
"Aug 20, 2018",27273.78,27609.80,27209.22,27598.02,27598.02,1660834700
"Aug 17, 2018",27388.57,27450.84,27101.10,27213.41,27213.41,1557764000
"Aug 16, 2018",26871.11,27405.25,26871.11,27100.06,27100.06,2138210600
"Aug 15, 2018",27724.72,27727.27,27249.08,27323.59,27323.59,1913746300
"Aug 14, 2018",27938.32,27946.55,27522.82,27752.93,27752.93,1490419600
"Aug 13, 2018",27956.78,28085.17,27823.21,27936.57,27936.57,1484354700
"Aug 10, 2018",28614.73,28665.90,28296.99,28366.62,28366.62,1284477700
"Aug 09, 2018",28260.50,28728.17,28192.81,28607.30,28607.30,1448212200
"Aug 08, 2018",28473.48,28473.48,28224.46,28359.14,28359.14,1611650400
"Aug 07, 2018",27889.44,28266.68,27843.16,28248.88,28248.88,1553852900
"Aug 06, 2018",27885.51,28074.53,27730.42,27819.56,27819.56,1445836100
"Aug 03, 2018",27751.60,27786.15,27604.56,27676.32,27676.32,1608505200
"Aug 02, 2018",28159.01,28218.28,27578.09,27714.56,27714.56,1989173700
"Aug 01, 2018",28756.72,28772.80,28219.97,28340.74,28340.74,1516068100
"Jul 31, 2018",28663.14,28682.31,28538.03,28583.01,28583.01,1464571200
"Jul 30, 2018",28631.05,28839.24,28539.56,28733.13,28733.13,1231291800
"Jul 27, 2018",28734.73,28816.69,28572.79,28804.28,28804.28,1206039800
"Jul 26, 2018",29083.40,29083.40,28625.08,28781.14,28781.14,1418097900
"Jul 25, 2018",28906.97,28964.79,28764.35,28920.90,28920.90,1632380100
"Jul 24, 2018",28282.30,28718.00,28282.30,28662.57,28662.57,2416350500
"Jul 23, 2018",28298.61,28391.58,28091.06,28256.12,28256.12,1893557000
"Jul 20, 2018",28054.76,28294.74,27745.85,28224.48,28224.48,2439680200
"Jul 19, 2018",28251.16,28329.98,27998.36,28010.86,28010.86,1495109900
"Jul 18, 2018",28352.11,28386.38,28045.47,28117.42,28117.42,1507604000
"Jul 17, 2018",28451.50,28460.87,28137.95,28181.68,28181.68,1700682900
"Jul 16, 2018",28580.96,28699.21,28327.00,28539.66,28539.66,1239642900
"Jul 13, 2018",28689.18,28715.36,28500.51,28525.44,28525.44,1449784600
"Jul 12, 2018",28260.09,28614.53,28217.31,28480.83,28480.83,1850926800
"Jul 11, 2018",28013.72,28365.72,28013.72,28311.69,28311.69,1871183500
"Jul 10, 2018",28900.71,28981.93,28682.25,28682.25,28682.25,1667619300
"Jul 09, 2018",28606.16,28821.54,28518.52,28688.50,28688.50,1877898300
"Jul 06, 2018",28254.37,28554.21,27925.33,28315.62,28315.62,2018289300
"Jul 05, 2018",28101.85,28320.90,27830.75,28182.09,28182.09,1879594600
"Jul 04, 2018",28546.32,28642.34,28141.28,28241.67,28241.67,2102178600
"Jul 03, 2018",28617.00,28617.00,27990.45,28545.57,28545.57,3283196100
"Jun 29, 2018",28463.85,28962.29,28463.85,28955.11,28955.11,2390149600
